nr_zmiany;nr_wiersza_csv;id_po_poprawie;kolumna;wartosc_przed;wartosc_po;regula
1911;1118;1117;miasto;Łodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1912;1118;1117;wspolczynnik;1.117;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1913;1120;1119;miasto; Warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1914;1121;1120;nazwisko;Szymański  ;Szymański;Usunięto nadmiarowe spacje i ujednolicono zapis nazwiska.
1915;1121;1120;miasto;Łodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1916;1121;1120;kwota;1280,77;1280.77;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1917;1121;1120;wspolczynnik;0,92;0.920;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1918;1122;1121;miasto;łódź;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1919;1123;1122;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1920;1123;1122;wspolczynnik;1.115;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1921;1124;1123;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1922;1125;1124;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1923;1125;1124;wspolczynnik;0,835;0.835;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1924;1126;1125;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1925;1126;1125;kwota;4427,84;4427.84;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1926;1127;1126;miasto;Wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1927;1127;1126;wspolczynnik;1.479;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1928;1128;1127;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1929;1128;1127;kwota;4810.21 zł;4810.21;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1930;1129;1128;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1931;1129;1128;wspolczynnik;1,48;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1932;1131;1130;kwota;2835,97;2835.97;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1933;1131;1130;wspolczynnik;1.312;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1934;1132;1131;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1935;1133;1132;miasto;Warszwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1936;1133;1132;wspolczynnik;1,287;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1937;1134;1133;miasto;gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1938;1135;1134;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1939;1135;1134;wspolczynnik;1.479;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1940;1136;1135;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1941;1136;1135;kwota;941,66;941.66;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1942;1136;1135;wspolczynnik;0.71;0.710;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1943;1137;1136;miasto;Łodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1944;1137;1136;wspolczynnik;0,908;0.908;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1945;1138;1137;wspolczynnik;0.82;0.820;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1946;1139;1138;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1947;1139;1138;wspolczynnik;1.263;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1948;1140;1139;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1949;1140;1139;wspolczynnik;1.195;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1950;1141;1140;kwota;3 435.24;3435.24;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1951;1141;1140;wspolczynnik;1,212;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1952;1142;1141;miasto;Łodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1953;1143;1142;miasto;Katowic;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1954;1144;1143;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1955;1145;1144;wspolczynnik;87%;0.870;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1956;1146;1145;kwota;4376,88;4376.88;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1957;1147;1146;wspolczynnik;1.214;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1958;1148;1147;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1959;1148;1147;ilosc;384 szt;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
1960;1148;1147;wspolczynnik;1.07;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1961;1149;1148;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1962;1149;1148;wspolczynnik;0,745;0.745;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1963;1150;1149;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1964;1150;1149;wspolczynnik;1.144;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1965;1151;1150;imie;  Anna ;Anna;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
1966;1151;1150;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1967;1151;1150;kwota;2774,00 zł;2774.00;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1968;1152;1151;wspolczynnik;0.98;0.980;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1969;1153;1152;nazwisko;DĄBROWSKI;Dąbrowski;Usunięto nadmiarowe spacje i ujednolicono zapis nazwiska.
1970;1153;1152;wspolczynnik;0,84;0.840;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1971;1154;1153;miasto;krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1972;1154;1153;wspolczynnik;1.052;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1973;1155;1154;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1974;1155;1154;wspolczynnik;1.113;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1975;1156;1155;miasto;Lodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1976;1156;1155;kwota;2642,13;2642.13;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1977;1156;1155;wspolczynnik;;0.548;Błędny lub pusty współczynnik zastąpiono medianą poprawnych wartości z zakresu 0-1: 0.548.
1978;1157;1156;wspolczynnik;0,425;0.425;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1979;1159;1158;wspolczynnik;1.1;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1980;1160;1159;wspolczynnik;1.259;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1981;1161;1160;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1982;1161;1160;kwota;;2476.15;Błędną lub pustą kwotę zastąpiono medianą poprawnych wartości: 2476.15.
1983;1161;1160;wspolczynnik;0,272;0.272;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1984;1162;1161;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1985;1163;1162;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1986;1165;1164;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1987;1165;1164;wspolczynnik;0,436;0.436;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
1988;1166;1165;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1989;1166;1165;kwota;291,92;291.92;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
1990;1167;1166;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1991;1167;1166;wspolczynnik;1.065;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1992;1168;1167;miasto;Katowic;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1993;1169;1168;imie;andrzej;Andrzej;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
1994;1169;1168;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1995;1169;1168;wspolczynnik;1,331;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
1996;1170;1169;miasto;Lodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1997;1171;1170;miasto;Warszawa ;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
1998;1171;1170;ilosc;abc;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
1999;1171;1170;kwota;4575,86;4575.86;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2000;1172;1171;miasto;gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2001;1172;1171;wspolczynnik;1.242;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2002;1173;1172;miasto;Warszawa ;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2003;1173;1172;wspolczynnik;0,188;0.188;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2004;1174;1173;kwota;1086.25 zł;1086.25;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2005;1176;1175;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2006;1176;1175;kwota;4106,68;4106.68;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2007;1177;1176;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2008;1177;1176;wspolczynnik;0,915;0.915;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2009;1178;1177;wspolczynnik;0.2;0.200;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2010;1179;1178;miasto;krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2011;1179;1178;wspolczynnik;1.497;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2012;1180;1179;miasto;Wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2013;1180;1179;wspolczynnik;1.233;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2014;1181;1180;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2015;1181;1180;kwota;3100,27;3100.27;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2016;1181;1180;wspolczynnik;0,904;0.904;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2017;1182;1181;miasto;Warszawa ;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2018;1182;1181;wspolczynnik;0.18;0.180;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2019;1183;1182;miasto;LODZ;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2020;1184;1183;miasto;Krakow ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2021;1185;1184;miasto;Warszwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2022;1185;1184;ilosc;14 szt;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
2023;1185;1184;wspolczynnik;0,61;0.610;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2024;1186;1185;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2025;1186;1185;kwota;1215,83;1215.83;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2026;1187;1186;miasto;Krakow ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2027;1188;1187;miasto;Krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2028;1189;1188;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2029;1189;1188;wspolczynnik;0,633;0.633;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2030;1190;1189;miasto;Krakow ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2031;1191;1190;miasto;Krakow ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2032;1191;1190;kwota;3352,45;3352.45;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2033;1192;1191;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2034;1193;1192;miasto;LODZ;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2035;1193;1192;wspolczynnik;1,355;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2036;1194;1193;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2037;1194;1193;wspolczynnik;1.134;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2038;1195;1194;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2039;1195;1194;wspolczynnik;1.203;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2040;1196;1195;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2041;1196;1195;kwota;4920,68;4920.68;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2042;1197;1196;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2043;1197;1196;kwota;2316.87 zł;2316.87;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2044;1197;1196;wspolczynnik;1,455;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2045;1199;1198;miasto;Lodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2046;1200;1199;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2047;1201;1200;imie;;Brak danych;Brak imienia uzupełniono wartością 'Brak danych'.
2048;1201;1200;miasto;;Brak danych;Brak miasta uzupełniono wartością 'Brak danych'.
2049;1201;1200;kwota;1 502.23;1502.23;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2050;1201;1200;wspolczynnik;0,953;0.953;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2051;1202;1201;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2052;1202;1201;wspolczynnik;1.487;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2053;1203;1202;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2054;1203;1202;wspolczynnik;1.263;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2055;1204;1203;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2056;1204;1203;wspolczynnik;1.348;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2057;1205;1204;miasto;KRAKÓW;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2058;1205;1204;wspolczynnik;0,834;0.834;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2059;1206;1205;kwota;4420,25;4420.25;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2060;1207;1206;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2061;1207;1206;wspolczynnik;1.061;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2062;1208;1207;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2063;1208;1207;wspolczynnik;1.398;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2064;1209;1208;miasto;Lodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2065;1209;1208;wspolczynnik;1,497;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2066;1210;1209;miasto;WARSZAWA;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2067;1211;1210;ilosc;;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
2068;1211;1210;kwota;1020,47;1020.47;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2069;1211;1210;wspolczynnik;1.473;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2070;1212;1211;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2071;1213;1212;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2072;1213;1212;wspolczynnik;0,208;0.208;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2073;1214;1213;wspolczynnik;1.104;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2074;1215;1214;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2075;1216;1215;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2076;1216;1215;kwota;1352,18;1352.18;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2077;1217;1216;nazwisko;DĄBROWSKI;Dąbrowski;Usunięto nadmiarowe spacje i ujednolicono zapis nazwiska.
2078;1217;1216;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2079;1217;1216;wspolczynnik;0,813;0.813;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2080;1218;1217;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2081;1219;1218;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2082;1220;1219;kwota;2475.81 zł;2475.81;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2083;1221;1220;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2084;1221;1220;kwota;22,33;22.33;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2085;1221;1220;wspolczynnik;0,464;0.464;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2086;1222;1221;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2087;1222;1221;ilosc;213 szt;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
2088;1223;1222;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2089;1224;1223;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2090;1224;1223;wspolczynnik;1.42;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2091;1225;1224;wspolczynnik;0,858;0.858;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2092;1226;1225;kwota;90,57;90.57;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2093;1226;1225;wspolczynnik;1.273;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2094;1227;1226;miasto;krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2095;1227;1226;wspolczynnik;0.38;0.380;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2096;1228;1227;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2097;1228;1227;wspolczynnik;1.043;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2098;1229;1228;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2099;1229;1228;wspolczynnik;0,842;0.842;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2100;1230;1229;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2101;1231;1230;miasto;Lodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2102;1231;1230;kwota;932,47;932.47;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2103;1232;1231;wspolczynnik;1.401;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2104;1233;1232;miasto;Kraków ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2105;1233;1232;wspolczynnik;115%;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2106;1234;1233;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2107;1235;1234;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2108;1235;1234;wspolczynnik;1.276;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2109;1236;1235;miasto;WARSZAWA;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2110;1236;1235;kwota;1031,22;1031.22;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2111;1236;1235;wspolczynnik;0.33;0.330;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2112;1237;1236;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2113;1237;1236;wspolczynnik;1,13;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2114;1238;1237;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2115;1239;1238;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2116;1240;1239;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2117;1240;1239;wspolczynnik;1.268;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2118;1241;1240;miasto;Katowic;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2119;1241;1240;kwota;362,12;362.12;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2120;1241;1240;wspolczynnik;0,34;0.340;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
2121;1242;1241;imie;andrzej;Andrzej;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
2122;1242;1241;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2123;1243;1242;miasto;Krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2124;1243;1242;kwota;759.95 zł;759.95;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
2125;1243;1242;wspolczynnik;1.191;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2126;1244;1243;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2127;1245;1244;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
2128;1245;1244;wspolczynnik;0,283;0.283;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
